Barcode,Call Number,ID,Lname,Fname,LName2,FName2,TheRest,Author/Editor,Title,Volume/Edition,Holding,Sort1,Sort2,DO NOT INCLUDE,DECIMAL CHECK,Don't Include,Sort3,Nope,Sort4,Sort5,Sort6,Sort7,Sort8,Sort9,Sort10,Sort11,Sort12,Sort13,Sort14,Processing Notes,APA Citation,Chicago Citation,Date of Entry,Notes,Column1,Column2
L0112033279,AE 5 E562 1910 v. 17,7237,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XVII,AE 5 E562 1910 v. 17,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,17,,,,,,,,,,,,,
L0112033287,AE 5 E562 1910 v. 18,7238,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XVIII,AE 5 E562 1910 v. 18,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,18,,,,,,,,,,,,,
L0112033295,AE 5 E562 1910 v. 19,7239,,,,,,,Encyclopaedia Brittanica,Eleventh Edition/ vol.XIX,AE 5 E562 1910 v. 19,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,19,,,,,,,,,,,,,
L0112033303,AE 5 E562 1910 v. 20,7240,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XX,AE 5 E562 1910 v. 20,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,20,,,,,,,,,,,,,
L0112033311,AE 5 E562 1910 v. 21,7241,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXI,AE 5 E562 1910 v. 21,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,21,,,,,,,,,,,,,
L0112033329,AE 5 E562 1910 v. 22,7242,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXII,AE 5 E562 1910 v. 22,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,22,,,,,,,,,,,,,
L0112033337,AE 5 E562 1910 v. 23,7243,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXIII,AE 5 E562 1910 v. 23,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,23,,,,,,,,,,,,,
L0112033345,AE 5 E562 1910 v. 24,7244,,,,,,,Encyclopaedia Britannica,Eleveth Edition/ vol.XXIV,AE 5 E562 1910 v. 24,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,24,,,,,,,,,,,,,
L0112033352,AE 5 E562 1910 v. 25,7245,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXV,AE 5 E562 1910 v. 25,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,25,,,,,,,,,,,,,
L0112033360,AE 5 E562 1910 v. 26,7246,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXVI,AE 5 E562 1910 v. 26,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,26,,,,,,,,,,,,,
L0112033378,AE 5 E562 1910 v. 27,7247,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXVII,AE 5 E562 1910 v. 27,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,27,,,,,,,,,,,,,
L0112033386,AE 5 E562 1910 v. 28,7248,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXVIII,AE 5 E562 1910 v. 28,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,28,,,,,,,,,,,,,
L0112033394,AE 5 E562 1910 v. 29,7249,,,,,,,Encyclopaedia Britannica (index),Eleventh Edition/ vol. XXIX,AE 5 E562 1910 v. 29,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,29,,,,,,,,,,,,,
L0112033402,AE 5 E562 1910 v. 30,7250,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXX,AE 5 E562 1910 v. 30,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,30,,,,,,,,,,,,,
L0112033410,AE 5 E562 1910 v. 31,7251,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXXI,AE 5 E562 1910 v. 31,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,31,,,,,,,,,,,,,
L0112033428,AE 5 E562 1910 v. 32,7252,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XXXII,AE 5 E562 1910 v. 32,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,32,,,,,,,,,,,,,
L0112033436,AE 5 E562 E3,7081,,,,,,"Einbinder, Harvey",The Myth of the Britannica,,AE 5 E562 E3,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,E3,,,,,,,,,,,,,,,
L0112033444,AE 25 E59e 1967,8,,,,,,"Gendzier, Stephen J.",Denis Diderot's The encyclopedia,,AE 25 E59e 1967,AE,25,E59e,TRUE,.E59e,.E,#NAME?,59,#NAME?,1967,,,,,,,,,,,,,,,
L0112033451,AE 100 R43 2010,7373,,,,,,"Reagle, J.M.",Good Faith Collaboration - the culture of Wikipedia,,AE 100 R43 2010,AE,100,R43,TRUE,.R43,.R,#NAME?,43,#NAME?,2010,,,,,,,,,Not in voyager as of 10/31/2016,,,,,,
L0112033469,AM 5 B88 1997,5957,,,,,,"Burcaw, G. Ellis",Introduction to Museum Work,Third ed.,AM 5 B88 1997,AM,5,B88,TRUE,.B88,.B,#NAME?,88,#NAME?,1997,,,,,,,,,,,,,,,
